"location_key","gdp_usd","gdp_per_capita_usd","infant_mortality_rate","adult_male_mortality_rate","adult_female_mortality_rate","nurses_per_1000","physicians_per_1000","health_expenditure_usd"
"AE",421142267937,43103,6.5,69.555,44.863,5.7271,2.5278,1357.017456
"AF",19101353832,502,47.9,237.554,192.532,0.1755,0.2782,67.12265
"AG",1727759259,17790,5,126.917,83.136,4.5171,2.956,673.85968
"AM",13672802157,4622,11,173.428,65.595,6.107,4.4023,407.635864
"AO",94635415869,2973,51.6,327.044,220.291,0.4075,0.2146,114.459641
"AR",449663446954,10006,8.8,147.086,79.483,2.5996,3.9901,1324.603516
"AT",455140042000,51448,2.9,79.032,41.779,7.0899,5.1697,4939.875488
"AU",1392680589329,54907,3.1,75.835,44.673,12.5508,3.6778,5331.817871
"BA",20047848434,6073,5,115.278,59.775,5.7333,2.1616,460.473328
"BB",5.209e+09,18148,11.3,129.531,91.939,3.06,2.4843,1183.836182
"BD",302571254131,1855,25.1,151.411,114.505,0.4124,0.5809,36.282337
"BE",542587364000,47436,2.9,80.262,49.245,19.4614,3.0709,4507.356445
"BF",15745810234,774,49,260.379,228.16,0.8829,0.0847,44.403492
"BG",66182565600,9440,5.9,183.956,86.496,4.8156,4.0332,663.715088
"BH",38574069148,23503,6.1,72.073,56.217,2.4944,0.9257,1127.186279
"BI",3012334881,261,41,310.651,253.135,0.8526,0.1001,23.500433
"BJ",14390709094,1219,60.5,258.647,211.008,0.3888,0.0791,30.766447
"BN",13469422941,31086,9.8,143.719,98.803,5.8974,1.609,671.411499
"BO",40895322865,3552,21.8,219.194,138.315,1.5589,1.5901,220.274567
"BR",1839758040765,8717,12.8,188.528,91.421,10.119,2.1643,928.799316
"BS",1.2827e+10,32933,8.3,193.627,116.813,4.5669,2.0068,1771.535522
"BT",2446674102,3243,24.8,197.28,194.721,1.8518,0.4242,96.799301
"BW",18340510789,7961,30,249.384,161.962,5.403,0.5269,465.929321
"BY",63080457022,6663,2.6,234.903,82.559,11.0027,5.1905,342.499908
"BZ",1879613600,4815,11.2,213.827,117.655,2.3414,1.1229,280.49881
"CA",1736425629519,46194,4.3,82.625,51.763,9.9438,2.6102,4754.947754
"CD",47319624204,545,68.2,273.573,224.637,1.1101,0.074,19.431646
"CF",2220307368,467,84.5,452.968,371.323,0.2063,0.0721,24.150055
"CH",703082435360,81993,3.7,58.204,35.896,17.5357,4.2957,9956.259766
"CL",282318159744,14896,6.2,107.669,59.035,13.3248,2.5912,1381.986206
"CN",14342902842915,10261,7.4,93.777,60.272,2.6621,1.9798,440.825623
"CO",323802808108,6432,12.2,151.616,77.999,1.3309,2.1848,459.197571
"CR",61773944173,12238,7.6,113.079,56.969,3.4144,2.8939,869.077759
"CU",1.00023e+11,8821,3.7,113.198,73.993,7.5614,8.4218,987.627014
"CV",1981845740,3603,16.7,182.203,85.514,1.2983,0.7814,167.589615
"CY",24942615800,28674,1.9,64.711,32.883,5.2512,1.9509,1731.694458
"CZ",244932977600,23010,2.7,108.785,51.325,8.3955,4.1208,1475.915161
"DE",3946356600000,47554,3.1,86.511,48.026,13.2352,4.2488,5033.452148
"DK",355582262000,61360,3.6,82.426,51.652,10.3195,4.0099,5800.151367
"DO",88941298257,8282,24.1,197.349,114.55,1.3802,1.56,433.208588
"DZ",169988236398,3948,20.1,102.851,80.672,1.5477,1.7193,258.494293
"EC",107435665000,6183,12.2,161.14,88.072,2.5059,2.0368,518.029602
"EE",30722303000,23246,2.1,154.542,56.077,11.1558,4.4833,1300.481689
"EG",303175127597,3020,18.1,182.7,105.456,1.9262,0.4521,105.768456
"ES",1418587740000,30326,2.5,74.537,37.537,5.7295,3.8723,2506.464844
"ET",96107662398,857,39.1,236.779,184.812,0.7135,0.0769,25.261953
"FI",276654540000,50150,1.4,89.21,44.026,14.7374,3.8118,4205.742676
"FJ",5535548972,6220,21.6,256.995,174.97,3.3752,0.86,188.414322
"FR",2776646200000,41300,3.4,95.352,48.187,11.4707,3.2672,4379.727051
"GA",16657960228,7667,32.7,238.333,182.317,2.946,0.6819,204.492249
"GB",2860009176200,43070,3.6,86.107,55.36,8.1723,2.8117,3858.674316
"GD",1228170370,10965,13.7,179.054,117.738,6.2837,1.4067,497.236053
"GE",17743195770,4769,8.7,221.61,77.23,4.7293,7.1201,293.053589
"GH",66983634223,2202,34.9,254.991,214.333,4.2001,0.1359,66.749413
"GM",1763819047,751,39,279.951,224.406,1.5447,0.1021,23.272326
"GN",13590281808,1064,64.9,260.356,232.889,0.1238,0.0832,33.720112
"GQ",11026774945,8131,62.6,334.453,294.556,0.5024,0.4017,301.150055
"GR",217962048000,20296,3.6,93.96,42.478,3.6331,5.4789,1516.587769
"GT",76710385879,4619,22.1,201.48,111.16,0.0737,0.3549,259.935028
"GW",1340389410,697,54,373.99,301.21,0.6851,0.1274,52.359409
